Location,Lat,Long
Coosa River at Lay Dam,32.96361111,-86.51861111
Coosa River at Logan Martin Dam,33.40916667,-86.33805556
Coosa River at Mitchell Dam,32.80555556,-86.44555556
Coosa River at Neely Henry Dam,33.78388889,-86.05277778
"Coosa River at State Line, AL/GA",34.20305556,-85.45333333
Coosa River at Weiss Dam,34.17194444,-85.75388889
Coosa River at Wetumpka,32.536944,-86.208889
Crooked Creek (AL) near Fairview,30.78,-88.31888889
Double Bridges Creek near Sellersville (CR 40),31.12972222,-85.98416667
East Fork Choctawhatchee River near Abbeville (SR 27),31.49583333,-85.37111111
Escatawpa River above Wilmer,30.862222,-88.417778
Fish River (AL) above WEEKS BAY WATER,30.41472222,-87.82277778
Fish River (AL) near Marlow,30.474444,-87.8025
Fish River (AL) near Silverhill,30.54527778,-87.79861111
Fivemile Creek near Republic,33.59694444,-86.86805556
Flint River (AL) at Brownsboro,34.74916667,-86.44666667
Flint River (AL) at Brownsboro,34.74916667,-86.44666667
Fowl River near Laurendine,30.50055556,-88.18138889
Hamilton Creek near Semmes,30.72583333,-88.27638889
Indian Creek (AL) at Madison,34.69722222,-86.69972222
Indian Creek (AL) at Madison,34.69722222,-86.69972222
Intracoastal Waterway at Gulf Shores,30.2794,-87.6866
Kelly Creek,33.4475,-86.38694444
Limestone Creek (AL) near Athens (Capshaw),34.75166667,-86.82305556
Limestone Creek (AL) near Athens (Capshaw),34.75166667,-86.82305556
Little Choctawhatchee River near Dothan,31.24638889,-85.48166667
Little Claybank Creek near Ozark (US 231),31.45833333,-85.66777778
Little Double Bridges Creek near Enterprise (CR 606),31.27222222,-85.95833333
Little River near BLUE POND,34.28888889,-85.68055556
Little Tallapoosa River near Newell,33.43666667,-85.46388889
Locust Fork at Sayre,33.70972222,-86.98333333
Locust Fork near Cleveland,34.02444444,-86.57416667
Lost Creek (AL) near Oakman,33.76388889,-87.35833333
Luxapallila Creek at Millport,33.57511416,-88.0833605
Magnolia River near Magnolia Springs,30.40638889,-87.73694444
Mobile River at Barry Steam Plant,31.0072222,-88.0119444
Mobile River at MOBILE RIVER AT BUCKS,31.01555556,-88.02083333
Mulberry Fork near Arkadelphia,33.86666667,-86.92222222
Mulberry Fork near Garden City,33.995,-86.74888889
Murder Creek (AL) at Brewton,31.10083333,-87.06888889
Murder Creek near Evergreen,31.41833333,-86.98666667
North River near Samantha,33.47916667,-87.59722222
Noxubee River,32.9325,-88.297778
Paint Rock River (AL) near Woodville,34.62416667,-86.30638889
Paint Rock River (AL) near Woodville,34.62416667,-86.30638889
Patsaliga Creek near Brantley,31.5961,-86.4055
Pea River at Elba (US 84),31.41333333,-86.06305556
Pea River at Folsom Bridge (SR 167),31.471944,-85.904167
Pea River near Ariton (US 231),31.59472222,-85.78305556
Pea River near Samson (CR 52),31.1125,-86.09944444
Pine Barren Creek near Snow Hill,31.99611111,-87.06833333
Pinhook Creek (AL) at Clinton Avenue in Huntsville,34.73027778,-86.59333333
Pinhook Creek (AL) at Clinton Avenue in Huntsville,34.73027778,-86.59333333
Sardine Branch near Little Rock,31.12944444,-87.37055556
Satilpa Creek near Coffeeville,31.74416667,-88.0225
Sepulga River near Mckenzie,31.45361111,-86.78694444
Shades Creek near Greenwood,33.32565,-86.9487
Sipsey Fork near Grayson,34.285278,-87.398889
Styx River at Styx River at Seminole,30.51805556,-87.46277778
Styx River near Elsanor,30.60555556,-87.54722222
Styx River near Loxley at Smith's Landing,30.64176,-87.611235
Sucarnoochee River at Livingston,32.57361111,-88.19333333
Tallapoosa River at Harris Dam,33.25805556,-85.61611111
Tallapoosa River at Horseshoe Bend,32.97722222,-85.73972222
Tallapoosa River at Martin Dam,32.68,-85.91111111
Tallapoosa River at Milstead,32.44888889,-85.8975
Tallapoosa River at Tallapoosa Water Plant,32.43972222,-86.19555556
Tallapoosa River at Wadley,33.11666667,-85.56083333
Tallapoosa River at Yates Dam,32.57388889,-85.88916667
Tallapoosa River near Heflin,33.622885,-85.5132894
Tennessee River above Guntersville Dam Headwater/Pool Elevation,34.4217,-86.3927
Tennessee River above Guntersville Dam Headwater/Pool Elevation,34.4217,-86.3927
Tennessee River at Decatur,34.61138889,-86.97527778
Tennessee River at Decatur,34.61138889,-86.97527778
Tennessee River at Florence,34.78694444,-87.67
Tennessee River at Florence,34.78694444,-87.67
Tennessee River at Whitesburg,34.57166667,-86.55805556
Tennessee River at Whitesburg,34.57166667,-86.55805556
Tennessee River below Guntersville Dam,34.42138889,-86.39388889
Tennessee River below Guntersville Dam,34.42138889,-86.39388889
Tennessee River near Scottsboro,34.64361111,-85.98027778
Tennessee River near Scottsboro,34.64361111,-85.98027778
Terrapin Creek at Ellisville,34.065,-85.61416667
Tide Gauge at Coast Guard Sector Mobile (IN MHHW),30.6483,-88.0583
Tide Gauge at Dauphin Island (IN MHHW),30.25,-88.075
Tide Gauge at DOG RIVER BRIDGE (IN MHHW),30.56517,-88.088
Tide Gauge at East Fowl River Bridge (IN MHHW),30.44369,-88.11392
Tide Gauge at Weeks Bay (IN MHHW),30.4167,-87.825
Tide Gauge at West Fowl River Bridge (IN MHHW),30.37664,-88.15856
Tide Gauge below DAUPHIN ISLAND 5S,30.18833333,-88.12166667
Tide Gauge near Bayou La Batre Bridge (in MHHW),30.40567,-88.24769
Tide Gauge near Chickasaw (IN MHHW),30.78189,-88.07361
Tide Gauge near Mobile State Docks (IN MHHW),30.7083,-88.0433
Tombigbee River at Bevill Lock and Dam,33.21027778,-88.28861111
Tombigbee River at Demopolis Lock and Dam,32.52083333,-87.88
Tombigbee River at Gainesville Lock and Dam,32.85222222,-88.15416667
Tombigbee River near Coffeeville Dam,31.75833333,-88.12916667
Tombigbee River near Leroy,31.486831,-87.908865
Tombigbee River near Nanafalia,32.13,-88.04111111
Tuckabum Creek near Butler,32.1833,-88.17
Turkey Creek near Pinson,33.71111111,-86.69611111
Valley Creek (AL-2) at Ave W,33.4925,-86.87214
Valley Creek (AL) at Center Street,33.5055556,-86.8366667
Village Creek (AL) at Avenue W in Ensley,33.5175,-86.87916667
Village Creek at 86th Street,33.576944,-86.718889
Walnut Creek (AL) above Clanton,32.89027,-86.57916
West Fork Choctawhatchee River near Skipperville (SR 105),31.575,-85.5
Whitewater Creek at Lowry Mill  (CR 215),31.53333333,-85.98333333
Wolf Creek (Baldwin) near Elberta,30.3881,-87.6528
Yellow River (AL) above Opp,31.273611,-86.348888
Yellow River (AL) at Florala,31.095221,-86.4358
